layer,concept,feature_id,full_score,full_rank,resample_support,median_resample_rank,mean_resample_rank,resamples,top_features_per_resample
4,code,16398,0.42338486213346577,33,0.015625,20.0,20.0,128,20
4,code,8720,0.6854261821467748,11,0.890625,13.0,12.921052631578947,128,20
4,code,10278,1.5071420688047157,2,1.0,2.0,2.0390625,128,20
4,code,5670,0.1597407600201594,128,0.0078125,12.0,12.0,128,20
4,code,49,0.4296784887604342,32,0.0859375,17.0,16.90909090909091,128,20
4,code,14386,0.37785934559067486,38,0.1484375,13.0,12.631578947368421,128,20
4,code,16442,0.4454211477043348,31,0.125,17.5,17.0,128,20
4,code,7738,0.16216940849947475,125,0.0078125,8.0,8.0,128,20
4,code,9280,0.38391420486036204,37,0.03125,17.5,17.75,128,20
4,code,18501,0.17297477068601977,118,0.015625,12.5,12.5,128,20
4,code,3151,0.23926538153137947,78,0.0078125,14.0,14.0,128,20
4,code,32338,0.1631577791628998,124,0.0078125,20.0,20.0,128,20
4,code,31832,0.45466370761416264,30,0.234375,13.0,13.5,128,20
4,code,10844,0.3390935668945474,46,0.0234375,14.0,15.666666666666666,128,20
4,code,9824,0.3289448109035686,48,0.015625,16.0,16.0,128,20
4,code,11875,0.41835774453193314,34,0.0390625,18.0,17.4,128,20
4,code,10853,0.5014223500654134,24,0.1796875,19.0,17.91304347826087,128,20
4,code,16486,0.3391011444347501,45,0.078125,12.0,12.5,128,20
4,code,10862,0.45850771052611544,29,0.140625,17.0,16.333333333333332,128,20
4,code,23667,0.08147802483357909,279,0.0078125,19.0,19.0,128,20
4,code,28807,0.3137517930092873,51,0.046875,15.0,13.833333333333334,128,20
4,code,27791,0.8950968454329992,4,1.0,5.0,5.515625,128,20
4,code,27284,0.28665147936112756,58,0.0078125,20.0,20.0,128,20
4,code,11926,0.7463496824422315,7,1.0,10.0,10.515625,128,20
4,code,23194,1.00754305399796,3,0.96875,3.0,4.991935483870968,128,20
4,code,21150,0.07375407165099962,297,0.0078125,18.0,18.0,128,20
4,code,5806,0.28613463596818284,59,0.03125,14.5,13.75,128,20
4,code,29364,0.36294753441758854,43,0.0,nan,nan,128,20
4,code,8887,0.28099087786293314,63,0.0078125,19.0,19.0,128,20
4,code,5816,0.3664193819642097,42,0.0390625,19.0,18.2,128,20
4,code,27325,0.6092354631816805,19,0.5859375,13.0,12.706666666666667,128,20
4,code,27326,0.676415444100278,12,0.671875,10.5,11.279069767441861,128,20
4,code,31437,0.642533773788382,17,0.71875,15.5,14.956521739130435,128,20
4,code,9933,0.4810741519575838,26,0.1796875,16.0,16.0,128,20
4,code,15567,0.650825690380761,15,0.640625,12.0,12.268292682926829,128,20
4,code,16610,0.3276909695235176,50,0.0390625,14.0,12.4,128,20
4,code,21737,0.6590981077259478,13,0.609375,10.0,10.051282051282051,128,20
4,code,20717,0.5651764613920411,22,0.453125,14.0,12.862068965517242,128,20
4,code,23285,0.1397360752131547,147,0.0078125,13.0,13.0,128,20
4,code,246,0.22919397379675316,83,0.015625,17.5,17.5,128,20
4,code,1787,0.39089855946834795,36,0.0390625,16.0,16.4,128,20
4,code,17696,0.3617370854000274,44,0.015625,18.0,18.0,128,20
4,code,31011,0.28920796724627207,56,0.0234375,19.0,16.666666666666668,128,20
4,code,17703,0.5012096436918453,25,0.203125,16.5,15.423076923076923,128,20
4,code,13631,0.28792069337305465,57,0.0546875,12.0,12.857142857142858,128,20
4,code,19265,0.2620701911559792,69,0.0625,14.5,13.875,128,20
4,code,31047,0.37752251138972,39,0.0234375,15.0,13.666666666666666,128,20
4,code,842,0.6530965060098914,14,0.734375,12.5,12.361702127659575,128,20
4,code,12618,0.24764710153150044,73,0.0234375,14.0,14.333333333333334,128,20
4,code,25941,0.6486303733940079,16,0.71875,13.0,12.98913043478261,128,20
4,code,14694,0.2642336768804168,68,0.046875,14.0,13.166666666666666,128,20
4,code,18809,0.6982673378399118,9,0.7578125,11.0,11.237113402061855,128,20
4,code,7545,0.46422065277703667,28,0.1796875,17.0,16.08695652173913,128,20
4,code,15227,0.4158139339777588,35,0.0,nan,nan,128,20
4,code,19834,0.4750188664319789,27,0.265625,16.0,14.088235294117647,128,20
4,code,29561,0.6928784162787984,10,0.84375,11.0,11.546296296296296,128,20
4,code,18816,0.8181792744149142,5,0.9296875,8.0,8.77310924369748,128,20
4,code,31619,0.2615670136292803,70,0.015625,14.5,14.5,128,20
4,code,32132,2.489540818222546,1,1.0,1.0,1.0390625,128,20
4,code,23432,0.2832914045978255,61,0.0078125,19.0,19.0,128,20
4,code,14731,0.32859346572341813,49,0.0078125,20.0,20.0,128,20
4,code,9108,0.1468500041127803,137,0.0078125,3.0,3.0,128,20
